Is the maximum loan of 2,000?| Is the maximum of 10,000? ||1
hello How long will it take to arrive after the loan is initiated || How long does it take for the QQ particle generation to be reflected||0
Is the bill available || Can I repay in full in advance? ||0
Open Micro Loan || Can I apply for Micro Loan||1
How to increase the quota || How to increase the quota||1
How to change the bound mobile phone number || Change mobile phone||1
Failed to borrow money || I want to know the reason for the failed borrowing||1
It prompts that there are too many errors in the identity information, and I cannot continue to borrow money, but I did not fill in the error, and I have not borrowed before. How to solve it! || After verifying the ID card, I made a mistake. How to do? ||0
WeChat does not have a micro loan? || Why do I not have a micro loan||1
Hello, what should I do if my issue is overdue? || What should I do if I haven't paid it yet? ||1
Who guarantees payment security || Loan crisis||0
How long does it take to wait || How long does it take to wait this is? ||1
Can't find Tenpay || Where is Tenpay, I can't find it||1
When can I send out the invitation || The microfinance bank I applied for has not called yet||0
Why can't I use it || How to log in||1
Why did my loan application fail? || Why can't I get out the loan||1
Hello, how long will it take to call and pass after submission? || When to call for review||0
I don’t know when it will arrive || How long does it take to borrow money in general||1
How to obtain invitation permissions || Now all areas are invited||0
Unbind || Is there a fee for transferring from China Merchants to Weizhong? ? ||0
What should I do if I change my mobile phone number? || How can I borrow money if my phone number is changed? ||1
Can’t I get approval when I apply? || Failed to pass the approval requirements of WeBank||1
How to pay back the current month's payment in advance || If you pay off once a month, will you not have that much interest||0
#Feedback#Why don’t I show up || Why can’t I get a loan on QQ||0
1. You can apply || 6 Microparticle loan application||1
Internal Comprehensive Score || Score||0
Why does the loan always fail the review? || Why did my QQ Micro Loan loan fail the review? ||1
Why can't the particles get in? || Wechat or QQ in WeChat Loan||0
I haven't received the call, how long will I call again || I haven't received the call, I went to the bathroom||1
Can the micro loan be used again after it is settled in advance || Reuse the micro loan to calculate the credit inquiry ||0
Where can I find the repayment record form || Enter there to see the repayment record||1
/Can you give me a micro loan || Introduction of Delidai||0
I can’t open Weizhong’s app || Today I updated the Weizhong Bank app. How do I log in and then log out||0
Please confirm when the call is coming || When is the call||1
Can I borrow the money after the first installment? || More money deducted||0
Can’t I get approval when I apply? || Why the approval failed||1
What is your maximum quota || The maximum quota can be 10,000? ||0
1. When will I be invited to use Motodai || Not an inviting guest||0
There is no WeChat official account on the mobile phone || Is there a mobile phone loan||0
How to change the repayment to 10 installments? || How do I change the repayment from 10 installments to 20 installments||1
Check the repayment date || When is the repayment||1
Why can’t I apply after repeatedly sending the verification code || Repeating the verification code||1
Five-term bill || This month's bill||1
Suppose I borrowed today and repaid the day after tomorrow. How much interest is charged || How to calculate interest for 20 days borrowing 8000 yuan||1
My payment for goods arrives on the 14th, can I delay repayment for a few days? Before the Mid-Autumn Festival || Can the activation be resolved immediately||0
My mobile phone does not have a micro loan || Why does my mobile phone not display? ||1
Why can't I borrow money || Why can't I borrow money||1
Can you save money this afternoon? || Will the payment be deducted again in the afternoon||0
Insufficient score || How do I know it passed||0
What is the reason for the total failure to open an account || I mean I saw the game, but you can’t open the amount for me again, it’s fine. Don’t BB||1
Can I borrow again after I repay the loan in advance || If the payment is paid in advance. Can I borrow money after repaying the loan||1
How much is 1000 yuan a day || How much money can be borrowed at a time||0
How much interest do I need to borrow 10,000 yuan a day || How much interest is a 10,000 yuan loan and a day's interest?||1
Hurry up and close it || I want to unfollow it||0
Then can the borrowed money be transferred to another bank card? || Can it be transferred to another bank card, ||1
Why can't the microfinance loan be opened yet? || When can I open an account||0
How to give bank certificate for repayment record || Apply for settlement certificate||1
Isn't it a WeChat wallet deduction || Hello, can't repayment be deducted from WeChat balance||1
When is the call coming || Waiting for bank phone confirmation||1
Mobile QQ version can apply for the micro-finance loan || I applied for it last night, and there is no news now, the efficiency is too slow||0
Manually repay the arrears of the current period || Can I still borrow after repayment ||0
I can't access your homepage || Why can't I access your homepage? ||1
Why can't I borrow money when I have a quota || Why can't I borrow money||1
When can a loan be used || When can a loan be used||1
Bind the card || May I ask how to bind the card||1
How much is the interest of 10,000 yuan || 1,000 yuan, how much is the interest of 10 months ||1
Cancel settlement application || Cancellation failed||0
I want to be a micro-customer || I want to go loan||1
Loan period || Borrow today, when will you pay back||0
Loan real-name authentication || Will there be a micro loan after applying for an Apple mobile phone? ||0
Why hasn't the payment been deducted until the time is up || Why can't I pay it back now||0
I can’t receive the mobile phone verification code || Why I borrowed the loan, but the mobile phone verification code has not been sent to me||1
