May I ask if chemistry and English are good, what major should I choose?| Which university is better for chemistry? ||0
What is the synonym of review || What is the synonym of review? ||1
How to distinguish true from false on Apple 6 || How to distinguish true from false on Apple||1
What software is good for grabbing train tickets || Is there any software to view train tickets||0
Who is this so cute || Which one is better to keep these two stones? ||0
What casts what precious idiom idiom || Is the minister to guess the idiom obliquely? What idiom? ||0
How to remove small black spots on the face? || Hey! There are small black spots on his face. I don't know how to remove||1
What do philosophers do? || What do philosophers do? ||1
What kind of gifts are good for boys' adult gifts? || What is good for boys as an adult gift? ||0
Why do black people like to eat white chocolate? || Why black people like to eat white chocolate ||1
How to get rich overnight || How to love pinyin||0
What should I do if my girlfriend suddenly ignores me || My girlfriend suddenly ignores me. What should I do.||1
Zhao Cai Bao, you can talk about it. || The same fund can be fully realized or partly realized. ||0
Which country is Lexus from? || Which country made Lexus||1
Are there any good TV shows in Korea? || Are there any good Korean TV dramas? ||1
Seek the high-definition big picture of this avatar || Seek the high-definition big picture of this avatar! ||1
What brand of motorcycle is good || What brand of motorcycle is good and economical||1
How to die without pain || How to die with the least pain||1
How to hit the 41st floor of the Tower of the Heroes || How to hit the 70th floor of the Tower of the Heroes||0
How many kilograms is one stock? || How many tons is one square? ||0
Did your friend transfer money to you and you did not receive it, or did your friend transfer money to you and you did not receive it || Have you contacted your family or friends to verify that you have logged in to your account to operate the transaction? ||0
How to plan your life || How to plan your life? ||1
Well, here is a push for you to check if there are other accounts available? || Here to help you push it, can you check if you have other accounts?||1
What brand of recorder is good? || What brand of recorder has good sound quality||1
How to massage the prostate || How to massage the prostate? ||1
Who has a handsome picture of Jay Chou? || Who has a picture of Jay Chou||1
How to retrieve an account number for Time Hunter || How to retrieve an account number for Time Hunter||1
How is the weather in Guangzhou || How is the weather in Guangzhou? ||1
How to distinguish the authenticity of the old renminbi || How to distinguish the authenticity of the current renminbi ||0
Dreaming that I lost my phone || Dreaming that my phone was stolen||0
How to go to hell on my mobile phone board || How to go to hell on my mobile phone board ||1
What does love mean? || What flower represents love? ||0
What is the first 4 digits of the mobile phone number you are using now? || Could you please enter the last eight digits, phone model, version, time of failure to log in, account number, ||0
Questions about special value-added tax invoices || Questions about special value-added tax invoices||1
What should I do if I like booger || What should I do if I like booger? ||1
How to eat bananas delicious || How to make fried bananas delicious? ||0
What kind of picture is this picture called || Where to search this kind of picture||0
What does it mean to make an appointment || What does an appointment mean||0
How to look good with clothes in winter || How to look good with clothes with short hair in winter. ||1
How to make soy milk from soy milk || How to make soy milk||0
The most populous country in the world || The smallest continent in the world is: ||0
About Wang Han and Yang Lele || Wang Han and Yang Lele||1
Hello, is the appointment successful or the purchase successful? || If the appointment is successful, it cannot be cancelled. It may have been successfully booked before your modification||0
What is this expression called? Which series is it from? || What series is this emoji from||1
When is the best time to put salt in stir-frying dishes || When is the best time to put salt in stir-fry dishes||1
Can you give me the complete comics of my overlord lover? || The Complete Manga of Seeking Overlord Lover||1
How can you die quietly? || How can I not be afraid of death||0
If you want to be a thousand miles away, go to the next level. Guess the idioms || Guess the idioms to go to the next level ||1
Why do we say that 'the greatest enemy of man is himself' || The greatest enemy of man is who said he is anxious! ||0
Who is in this photo || How about this photo? ||1
How to delete photos in Tencent Weibo? || How to delete photos in Tencent Weibo||1
Seeking escape and similar novels || Seeking similar escape novels||1
What forums are there in Shanghai? Popularity is relatively high || Which forum in Shanghai is relatively popular? ||1
How to cache offline || How to cache offline ||1
Does she really love you || Is it really love? ||0
How to write the relationship between grandparents and me || How to fill in the relationship between grandparents and me||1
Solving dreams, dreaming of Buddha || Solving dreams: dreaming of snakes||0
What material is zinc and copper || What material is light and hard||0
How to make a crying emoji || How to make this emoji||0
Which is better for free online game accelerator || Which is better for online game accelerator? It's free. ||1
Where is Wuxi fun? || Where is Wuxi the most fun||1
What pants look good with these shoes || What pants look good with these shoes ||1
Seeking TV series or novels || Does the TV series Duance have novels? ||0
Not rare: What do you mean? || What does he mean to me when he says you are rare||0
What kind of eye cream is good for fine lines? || Which eye cream is good for fine lines?||1
What kind of face looks good || What kind of face is mine? Hey! It's not pretty! ||0
Why the activation of my Taobao account failed? || My Taobao account has expired, what should I do if I want to activate it now? ||0
A Certain Magical Index Novel || A Certain Magical Index Novel||1
Couplet: Sun Xingzhe || Couplet: Sun Xingzhe||1
How did Vice City come out of this online || How did Vice City online blow someone else’s tires||0
How to drink Vindabao milk powder || Is enzyme useful for weight loss? Who used it ||0
What brand of waist massager is good? || What brand of waist massager is good||1
How about Jiangsu City Vocational College? Nanjing campus || How about the Nanjing campus of Jiangsu City Vocational College? ||1
Is there a novel similar to Zhen Huan || Is there a novel similar to Zhu Xian||0
How to go to the God of War Wuzhuang View || How to live the God of War Wuzhuang View||1
How to raise cuttlefish || How to raise the little cuttlefish that I just bought||1
Are there any beauties who haven't slept || Are all beauties asleep||1
Does anyone know which movie this is? || Does anyone know which movie this is,...||1
Seeking good-looking rebirth, online game novels! || Seeking a good-looking rebirth online game novel||1
Is the red envelope unissued, dear? || Who sent you the red envelope? ||0
Seeking Shuo Chara's picture || Who has downloaded Shuo Chara's complete works||0
How to download Star League? || How to have Star Alliance||0
What brand of vacuum flask is good || What brand of vacuum flask is good*||1
Which brand of men's shoes are good || Which brand of men's shoes is good||1
Which mobile game is this || What mobile game is this. ||1
What kind of gifts should I give to male clients during the New Year? || What gifts are good for male customers, more than forty, not high or low level||0
What does dismissive mean || What does dismissive mean||0
What are the characteristics of Huangshan || What are the characteristics of Huangshan? ||1
How to hit the bib? || Draw this figure with one stroke||0
Which brand of household water purifier is better? || Which brand of household water purifier is good||1
How about Jinhu Xiaohemorrhoid Ointment? || How many days does Jinhu Xiaohemorrhoid Ointment use? Feeling down||0
Vision requirements of Dalian Naval Academy of Navy || Dalian Naval Academy of Navy||0
Remove the words on the picture. || Remove the words and pictures to me ||0
Hello. Your situation is just waiting. There is no other way || to trouble you. There is really no other way for your current situation ||0
How to get high scores and run farther || How to get high scores||1
What is the idiom 'beat one by one' in Chinese? || What is the idiom 'beat one by one door by door'||0
When will the second season of Run, bro? || (Run, bro) When will the second season be broadcast||1
How to wash Katu fur clothes if it is dirty || How to wash rabbit fur clothes if it is dirty? ||1
Hello, has your previous account been verified? || How do you prompt for the associated authentication of your login 185 email account operation||0
Who is Fan Bingbing's boyfriend? || Fan Bingbing has a few boyfriends who can tell me ||0
Play games with new graphics card || Play games with new graphics card ||1
Are there any TV series like love apartment || TV series like love apartment||1
About the Chinese Zodiac || Which one to play the Chinese Zodiac||0
How about Red Apple Furniture? || How about Red Apple Furniture? ||1
What dance to dance on Children’s Day || What dance to dance on Children’s Day||1
Which brand of car mat is good || Which brand of car mat is good||1
Seeking Danmei radio drama || Seeking Danmei radio drama! ||1
Who sings Xin Yang Guifei Drunk || Who sings Xin Yang Concubine Drunk||1
How are China and Japan now? || More people use Xiaomi or Meizu ||0
What good songs are there now! || What good songs are there now||1
Where did this dollar go? || Can you still spend this dollar||0
Hello, I am Alipay customer service Tianyi, can I help you? || Why do you pay the other party? 2. Where did you find the other party (such as Taobao, Tieba, etc.)||0
What kind of pigeons are there || What kind of pigeons? ||1
How to make lips thin || How to make lips thin,...? ||1
Which website is the new movie released in the cinema? || Which website can you see the latest movies. ||1
Don't let me see who sang the ending song of the TV series || Don't let me see who the actor Ren Xiuying is in the TV series||0
I miss you, how do you say my love in Japanese? || How to write in Japanese||0
How to check the results of the high school entrance examination || How to check the results of the high school entrance examination in general? ||1
Is it very rich to be a star? || Are celebrities very rich? ||1
Hmm, is the number above the same as the current Alipay number? || Is the bank number the same as that of Alipay? ||0
Have you appealed? || Your appeal was unsuccessful. Have you submitted your previous appeal to your email address?||0
My Fox Fairy Girlfriend Season 2 || When will my Fox Fairy Girlfriend Season 2 come out||1
May I ask what font is this?急 || Big ask what font is this ||1
How to remove paint || How to remove paint||1
Can my nails grow after plucking? || Can a broken nail grow out||1
How does the space-time hunter brush magic crystals and gold coins? || Seek software for time-space hunters to brush magic crystals, VIPs, and gold coins||0
What kind of rat is this || What kind of dog is this, and why are the legs so short||0
Kangxi Qing Dynasty Chuanwen || The School Game of Love and Desire||0
What to eat for bloating, || What to eat for bloating||1
What do you need to operate now || What do you need to operate now||1
What are the fun places in Shanghai? || What is fun in Tianjin? ||0
Can I get a loan if I am currently out of work || I am currently out of work, how can I get a loan||1
Are there any good movies recently || Are there any good movies recently||1
Really love your guitar tablature || Really love your guitar tablature. ||1
What hairstyle is suitable for a long head? || What hairstyle is suitable for boys with long foreheads and short heads||0
Gold, Silver, Copper and Iron (Guess the Place Name) || Gold, Silver, Copper and Iron Guess the Place Name||1
What anime are these pictures? || What anime do these pictures come from? ||1
How about Zhuhai Wangsen West Point Training School? || Is Wang Sen Art Pastry Cake School nationally accredited? No ads||0
Which countries celebrate the Spring Festival || Which countries celebrate the Spring Festival ||1
Which province is Tianya Haijiao in || Tianya Haijiao is where you go ||0
What to eat during Mid-Autumn Festival? || What to eat during Mid-Autumn Festival||1
Who is the original sung of the song 'Let' || Who is the original sing of the song Tianya Lonely||0
What password are you looking for || What password are you looking for||1
What are the supermarkets in China || What are the supermarkets in China||1
Different beautiful composition || Composition 'So beautiful' urgently. ||0
Excuse me, which anime character is this || What anime character is this? ||0
What should I call my boyfriend? || What nickname for boyfriend ||1
What are the good-looking animations of domestically produced comics || What are the good-looking comics of domestically produced comics||1
Chinese New Year Wishes Funny Pictures Animation || Runaway Comic Pictures Funny Pictures with Words||0
What kind of girl does Wang Yuan like || What kind of girl does Wang Yuan like||1
What if I have a big face and a small face? || What should I do if I have a big face and a small face? ||1
What does it mean to abuse the heart? || What do you mean by playing with hearts? ||0
How to enter the Minecraft mobile server || Who owns the Minecraft mobile server||0
'Jiangsu Satellite TV, If You Are the One' || Seeking the Complete Works of Russian Beauty Academy||0
How to transfer money from a bank card to Yu'e Bao || How to transfer money from Yu'e Bao to a bank card ||0
Talking about war and peace || About war and peace||1
What are the benefits of practicing yoga for women? || What are the benefits of practicing yoga for women?||1
Refers to disturbing someone's dreams? Dayi idiom || Why do we have to know what Dayi idiom is when we meet||0
Is the Earth Big or the Moon Big || Is the Earth Big or the Moon Big? ||1
[Jiqiu] Hell Girl Ringtones || Hell Girl Ringtones||1
Which district does Hangzhou Wulin Road belong to || Which district does Hangzhou Wulin Gate belong to||1
Where can I buy gifts with Chinese characteristics in Dongguan || Where can I buy gifts with Chinese characteristics in Guangzhou for foreigners. ||0
What kind of carbon is better for barbecue || What is better to eat after barbecue? ||0
What is the structure of the word sitting? || What is the radical of the word in? ||0
What are the sci-fi pictures || pictures about sci-fi pictures||1
How to draw the schematic diagrams of various forces? || How to draw a schematic diagram of a special lever||0
How to do this lock screen || How to earn on lock screen ||0
Has the refund been made || Excuse me, have you obtained the authorization from the other party? ||0
What is the difference between like and love || What is the difference between like and love? ||1
Is it good to study architecture || Is it good to study architecture||1
What is the antonym of sufficient || What is the antonym of sufficient? ||1
What is an attractive woman || What is an attractive woman||1
What are some good novels for girls to read || What are some good novels for girls to read ||1
How to use US Amazon? || How to get on the US Amazon||1
Is my sister cute || Is it cute! My sister||1
Find pure music || Find a law firm||0
Hieroglyphs || Fun Quiz||0
Where is the frontotemporal part || Where is the kidney? ||0
How about ZTE mobile phone || How to dismantle ZTE mobile phone||0
Is detective Di Renjie good-looking? || Is detective Di Renjie good-looking? ||1
What does interpretation mean? || What does interpretation mean||1
What is the peak area || What does the area of ​​the circle mean? ||0
Who is the most handsome in this world? || Who is the most handsome person in the world||1
What is the synonym for staring? || What is the synonym of gazing||1
