Why can’t my mobile phone still be able to borrow money?| The loan limit is displayed on my mobile phone, why can’t I borrow money? ||0
Hello, when is the monthly payment date || What time is the payment today||0
How to activate the mobile phone || QQ number to activate the micro loan||0
Hello there! Why still fail to repay the loan || Can't I repay the loan at once ||0
Why did I not let me borrow after I paid off the loan in advance || Repayment in advance thought that the amount was raised. How come it turns out that there is an under-scoring! How to do it. I borrowed three times. How could this happen? ? ? ||0
I have entered the ID card incorrectly many times every day || I made a mistake when I entered the ID card number||0
I have a friend who wants to use it, but I don’t know how to handle it. His phone has always been an interface. || There is no loan icon in my phone||1
What number is excited || When will it be activated||1
Is the time deposit capital guaranteed || Can you give me an explanation for the time deposit withdrawal? ||0
How to review the payment? || How can I see the particle icon? ||0
How to close the particle bag || Cancel||1
Hello there! I applied to borrow money! Why didn't it arrive || Three minutes have passed and I haven't received it yet||1
Can I change the card that is currently bundled for repayment? || How to bind a bank card? ||0
Open Micro-Cargo || Open Micro-Loan||1
How much interest is 1,000 yuan a day || How much is 10,000 daily interest||1
How to cancel an account || How to cancel a micro loan||1
Why do I borrow money and keep saying that I have entered too many incorrect identity information? || What happened to the failure of the Weiwei loan account information query ||0
1I didn't receive a call to confirm || Sorry I didn't receive a call just now||0
Hello, I want to know if I can make a one-time repayment in advance || Can I repay in advance by myself||1
Is it overdue to postpone repayment by one day? || Postpone repayment by 1 day||0
Why didn’t I call me back after borrowing || Hello, I didn’t call to confirm the loan a day after the loan||1
Construction Bank || Isn't CITIC OK? ||0
What is the interest calculation || Is the interest rate calculated at 5% for Microparticle Loan regardless of how much money it borrows? ||0
Why can’t my postal bank card help || ‍Can I open ‍Two‍ cards‍||0
Loan phone confirmation || I would like to ask that I have applied for four or five hours and have not received a call back. Is it a scam company? ||1
Is it possible to withdraw cash || Hello, save 1684 yuan now and pay it tomorrow, can I withdraw the money the day after tomorrow||0
When does the bank call come || When will I call again||1
Does it not meet your requirements || Bank approval requirements||0
How to calculate interest || I want to ask, how to record interest||1
Where to repay || How to bind a new account for repayment||0
How to cancel the loan || I accidentally canceled the loan yesterday, can I still borrow||0
Why can't I pay the loan today || Is it not possible to repay the loan with a red envelope? ||0
How can I return it with another bank card || The card is cancelled, how can I return it with another card||1
Where is the time deposit in the APP || Why can't I find the time deposit in the APP? ||1
Open Micro Loan || Open quota||1
Hello, I didn't receive your call just now, can I call you again? || Hello, I have not received a call from your company just now||1
Why I have been promoted, but there is no quota || Why I have no quota ||1
What is the daily interest rate of 4500 || I am borrowing 11,000 yuan, so what should be the monthly interest rate||1
Why can't we open an account in WeBank || I have opened an account, why can't I use it||0
What's wrong with the particle loan pattern suddenly disappeared || There used to be a particle loan card and it disappeared after it was released||0
Why is there no loan on my phone? || Why does my mobile phone have no loan function||1
How can I make repayment now? I can’t change my bank card number if I want to change it || How to change the repayment bank account||1
Can I borrow it today and pay it tomorrow || I paid it off||0
I applied for the last step, saying that my account information was entered incorrectly too many times, what should I do? || Hello, customer service, due to negligence when entering the ID card in the supplementary personal information interface, I have repeatedly input errors, and now I can’t operate it. How long will it take to reapply ||0
What should I do if I change my mobile phone number? || Change mobile phone number||1
How many hours are there in the loan business || I would like to ask what qualifications are required for the microfinance loan to be activated||0
How long will it take to call after borrowing || How long will it take to receive a call after applying for a loan||1
It seems that my loan has not been deducted normally || Why hasn't it been deducted? ||1
The previous number is no longer needed. Change the phone number || Bank reserved phone number is different||1
What is the difference between QQ Motoi Generation and WeChat || Is the Motoi loan information in QQ not recommended by you||0
Can't borrow money || Is QQ Micro Loan feasible||0
I have applied, and now there is no news. || I mean, is Motodai not available for Apple phones? ||0
But each can't exceed 40,000? || A single loan is up to tens of thousands, and a day is up to tens of thousands of goods||1
What is the non-compliance || Why is the non-compliance with the approval||1
Overdue fines || How to calculate the penalty interest for overdue repayments||1
How to close this || I want to cancel WeChat Lidai, how to cancel||1
How to apply for a limit increase How to increase a limit || How to borrow a microloan introduction How to increase a limit ||0
When can I get the card for general borrowings || How long does it usually take to get the money? ||1
Is it fake? I haven't received it now || How long does it take to get a loan||0
What bank transfers can be supported || Hello! How do I transfer funds to a designated WeChat account||0
What is the fixed deposit interest rate? || Is the certificate of fixed deposit the same as the bank's certificate of deposit ||0
The request for information is illegal. What is going on || How to fill in the information||0
I would like to ask, can I still borrow money after paying off the loan in advance? || I paid it all in advance, why the quota hasn’t increased||0
What bank card does it support || Support that bank||1
Is the interest calculated on the same day || Can you give an example of interest? ||0
Can you withdraw cash || Also withdraw cash ||0
Why can't I pay the repayment? My bank card has money || Is the payment automatically deducted before 5 o'clock? ||0
If the repayment is completed, when will the payment be automatically repaid || Are you automatically deducted on time in the early morning of the day of repayment||1
The second repayment failed || There is money in the card, but it prompts that the repayment failed||0
What is the fixed daily interest rate|| How much is the daily interest rate of 3500||1
I have been unable to check the quota || Why the quota is not increased after using it many times ||0
Can be down in a few days
Why can't I open an account || Can't open a card||1
Can you provide proof of loan settlement || Is there a proof of settlement||1
How to manually return other bank cards? || It's okay, I paid it with another card||0
How to verify identity || The identity information is wrong, how to verify ||0
Why I did not meet the approval of WeBank || Show that I did not meet the approval requirements||1
Why is it always showing that I have entered too many incorrectly when I finally confirmed borrowing money? The borrowing failed? || Excuse me: When borrowing money, I entered the wrong ID number, which caused the loan to fail. Can it be solved? ||1
Now that the balance is sufficient, how to repay? || I forgot to recharge my card today, how do I repay now||0
If I borrow now, when is my repayment date? || I just borrowed it today. When will repayment start||1
Why does it show that you can't borrow money? || How do you get your loan||0
When can I borrow || How long does it take to borrow||1
What are your requirements for inviting customers a || How can I apply for a particle loan||1
How does your bank make the flow?|| Transaction flow print||1
I want to close || The phone number has been changed. Can't receive the loan message? How can I borrow money? ||0
Hello, what is the daily withdrawal limit of China Merchants Bank? || Is there a limit for WeBank body||1
September bill || IOU information page||0
What do I mean by failing to meet the bank approval || The approval failed||1
How to qualify || Can't borrow the second money||0
How much time for a shift to lend money || When will the Android version be opened||0
Does not meet the approval of WeBank || Why I do not meet the requirements of WeBank||1
Trial of Weiwei loan || Apply for Weiwei loan Trial Weiwei loan Open Weiwei loan||1
Get menu || View business menu||1
、What to do with early repayment || Hello, I would like to ask if I use all the interest for early repayment||0
When can I start issuing loans || Hello! Is there a time limit for repayment of this loan||0
How to apply for a micro loan || How to activate a micro loan||1
There is no such function || Why I don't have this function||1
Can I make a call to apply in the past?| I can call now||0
Can I withdraw cash? || Can I withdraw before borrowing||1
After borrowing, when will interest start? || As long as the borrowing is 2000, the period of 29 days is the interest rate||0
Isn’t it called a lightning loan || If you are invited, please activate the quota for me immediately||0
Issue a proof of repayment? || Can I send a settlement certificate||1
Account opening is complete Then || How to open an account||0
Hello, do you have proof of successful repayment || I need proof of settlement||1
6000 yuan can be borrowed, the minimum single borrowing amount is too much || 36000 of 20,000 can not be borrowed ||0
How does WeChat real-name authentication || How long does it take to apply for news||0
Suppose I took a loan for five months and I used it for one month to repay in advance. How long will the interest be paid, and is there any penalty such as liquidated damages|| If I set up 10 installments, how much interest will I charge if I repay early?|| 1
Why have I been waiting for the phone confirmation || I didn't receive a call just now, when will I call again? ||1
Why there is no response to my repayment || There is no automatic deduction to repay the money ||1
4185 The repayment chip is broken and has been replaced || 2Change the bank card||1
Repayment in advance, is the interest still counted || Why can't I get the loan||0
When can I borrow for the second time || When can I borrow the next loan||1
When is the repayment date|| I forgot what repayment date||1
I want to rebind a bank card, why can’t I bind it || If I don’t want to use it, just unbind the bank card.||0
Why did my loan transaction fail || Why did it show that the loan was unsuccessful||1
Can I apply for an extension of repayment? || Is it okay to delay the repayment for a few days this month? ||1
No borrowing cancel loan || How to cancel the loan limit display||0
Where can I view the details of monthly repayment records || There is nothing in the borrowing and repayment records||0
Strongly request the scope of opening || Opening quota||1
Is it cash to borrow || Is it possible to withdraw cash when borrowing to a bank card||1
I said I don’t need it || Thank you, I don’t need it||1
If you issue a payment settlement certificate || Hello, I am buying a house loan, but there is your loan record on the credit investigation, and the bank says that you must settle your settlement and issue a settlement certificate, how to open it||1
My bank card is an old mobile phone number, and now I have changed the number, and the verification code is sent to the old mobile phone number || The mobile phone number of my bound bank card has been changed in the bank, why does it still display the previous mobile phone number when sending the verification code? ||1
Is the phone audit 24 hours? || Hello, when can I continue to use it after the audit fails? ||0
How much interest a day || How much interest a day ||1
Is there a bill by mail || Bill||1
There has been no quota || Apply quota||0
Can I borrow it all when I pay it off? || Can the loan be repaid if I pay off in advance||1
Hello, may I borrow money, it will take a few days to calculate the interest! || What time period generates interest||1
Why don’t you invite me on WeChat || Why some and some not||1
Will my credit be affected if my credit is overdue for two days || View overdue||0
If I borrow 20,000 for 10 months, can I repay the loan in advance? How is interest calculated? || Hello, how to calculate the interest if repayment in advance? ||0
3. Can I borrow 20,000 yuan and repay part of it in advance || 5000 yuan in five installments, can I repay one installment in advance||1
I want to turn this off. || Hello, how to cancel this business ||1
My repayment this month is overdue for two days. Can I still borrow money after paying off early today? || Is it impossible to borrow after repayment in advance||1
How much is the interest for 32,000 borrowing for a month || How much is the interest for 10,000 borrowing for a month||1
'You have not met the approval requirements of WeBank' || Can't you use it if you don't meet the conditions? Is there any other method||0
My bound bank card is lost and I have replaced it || The bound bank card is lost||1
Why the repayment limit has not been restored || How long will it take to borrow next time||0
Why do I say that I cannot be evaluated || Why the comprehensive evaluation is unqualified||1
[WeBank] Repayment failure notice: Hello, due to insufficient balance of your Agricultural Bank (1773), the repayment of the micro loan you applied for on WeChat on your mobile phone failed. Please make sure that the balance in the repayment card is sufficient before 17:00 today (May 13), and we will deduct the payment again today. || Why can't I pay the loan in advance now||0
Hello, why does this WeChat have no micro-loan function || Where can I get loans||0
The early morning of the 16th is the deduction day. Is it okay on the 17th || How to fail the deduction||0
What is the maximum amount that can be raised || I have a quota of 27,000! Can I borrow them all? ||0
