How to change the repayment contact phone || Why hasn't my repayment bank card been changed?|0
Why has been waiting for the phone confirmation || What are the earliest calls||1
Hello, my loan has been paid off, can you give me a repayment voucher? || Hello, I have paid off the WeChat loan, but the bank wants me to have a settlement certificate here||1
When can you borrow money || When can you borrow money on WeChat? ||0
How to get to the panic buying site || Not in the phone: How to have it||0
I can’t log in after upgrading || Why can’t I log in today||1
How big is the quota after opening || Why my quota is 103,000 yuan, but I can only borrow 10,000 yuan||0
Identity information error || It keeps prompting that there are many authentication errors and can’t receive money ||0
The meager loan was not deducted || I didn't receive the call if it didn't solve it||0
Hello, I missed the voice call || I missed the call just now and I have been waiting for now||1
When can I start to provide loan services || Borrow more ||0
WeChat redemption limit || Please introduce the limit and handling fee of WeBank transfer to another bank card||0
The problem was that the identity was entered incorrectly many times. Unable to borrow || ID input error. Unable to borrow. What should I do ||1
How much is 10,000 exchanged for || Why is my quota of 103,000 yuan, but I can only borrow 10,000 yuan||0
Why isn’t there in my WeChat? How to use the micro loan || Can’t find the entry||1
Borrowing on the 15th, what is the repayment date || Borrow today and pay tomorrow ||0
Open Weilidai || Can I trust the opening of the business||0
There is no Weixindai in WeChat? || I have followed your Weidaidai, but there is no Weidaidai in my WeChat wallet||1
What does it mean to fail to meet the bank's approval requirements? || Said that it did not meet the approval requirements of Weizong Bank ||1
Hello, I have paid off the money, but there are still records on the credit investigation. How do I issue a certificate of repayment || How to get a certificate of repayment of the loan? ||1
How much do I need to repay tomorrow? || I don't have this yet||0
How much is the daily interest for 10000? || .How to calculate interest||0
Why can't I bind the China Merchants Bank Card || Doesn't support postal savings card account opening? ||1
Excuse me, this loan can only be used to buy a house, and what else can it not be used for || Can it be transferred directly? ||0
3# The answer is not what you asked, it can't actually solve the customer's problem || Isn't it 15 minutes to arrive? Why is it so long? ||0
I want to change my mobile phone number to receive information || I have already changed my mobile phone number, how do I do it||1
Hello, I just missed the loan confirmation call || Sorry, I didn't hear the call at work||1
I can’t see the quota || I can see the icon, but I can’t see the quota||1
How are you || don't speak||0
How much is the highest loan! || How often to increase the quota||0
Teach me to change my phone number || What should I do if I change my mobile phone number? ||1
Bank of China repayment failed || Repayment failed today because the balance is insufficient! I have it now, but not yet ||0
Unsatisfied requirements, no loans issued || PBOC credit investigation does not meet ||0
What is the general time frame for phone confirmation? || Generally, how long does it take to wait for a call||1
In the past 10 years, QQ has no particle loan window || Just now I showed that I can get a loan, but now I can’t get a loan again.||0
