Why don’t I have a micro loan?| How is the credit granted||0
Which bank is supported || Which bank is supported||1
What should I do if I enter the wrong ID card || The format of the name and ID card is wrong, what should I do? ||1
How to re-bond a card after losing the previous card? || How to change the bonding card||1
I need you to call me || Customer service phone||0
Why the money I borrowed last night has not arrived yet || When will it be activated||0
Is the borrowed money directly credited to the bound bank card? || The bound bank card number 9 cannot do business ||0
It has been an hour and it hasn't arrived yet || How long does it usually take to increase the amount||0
How to change the repayment card number? || How to change my repayment card number? ||1
Can't repay today? || Why can't I pay off in advance? Repayment has been failed||0
If the repayment is made in 10 installments, the interest will not be calculated for the repaid part || Why can’t part of the loan be repaid in advance but must be repaid in full||0
Should I just wait? || Can I deduct the money manually||0
What is your phone number || Is there a bank phone number||1
Why is there no micro loan in my WeChat window? || Where is the wallet||0
A few days down || How long will it take to approve||1
Hello, when can I process my loan application? || Can you ask?||0
Say I did not meet the conditions || Does it not meet your requirements||0
Can the borrowed money be withdrawn || Can the borrowed money be withdrawn||1
If I pay off in advance, can I borrow again || My microparticle loan repayments are all paid off in advance, and now the loans always fail to pass ||1
Loan, repayment || How to repay ||0
Does not meet the loan conditions || What to do if the approval requirements are not met ||0
How to meet the approval requirements || What conditions do I need for approval? ||0
Last month, I changed the bank card with the end number of 0471 for repayment, and there was money in the card. Why did the repayment fail? || Why can't I take the initiative to repay the loan||0
How much interest do I borrow 12,000 yuan per day || How much interest is 100,000 a day? ||1
When will the 2016 microfinance loan be opened || Borrowing on January 1st, and when is the first repayment||0
I want to unfollow it || I want to quit the public platform||1
Why the score is not enough || Why can't I pass the evaluation||1
It's activated, but can't you borrow money? || How much can I borrow after I have opened a microfinance loan? ||0
Why can’t I log in|| I can’t log in via WeChat, but I can only log in via QQ. I called the customer service before, and the customer service said it was a background problem, so I want to ask, if QQ can’t log in anymore , How do we do it? ||1
How to cancel an already applied loan || How to cancel a loan||1
What is your company || Thank you for your company||0
It’s that I have not come down when I applied for the particle generation || How to calculate if the money is enough before five o’clock and it is not deducted||0
Our contract || I want to sign a contract||0
Hello, I want to ask me to see that the total interest on borrowing 10000 for 10 months is 836. If I only borrow a few days and pay off the money, do I need to pay back 836? How much interest ||0
